block	context	SZ	CSI	ProbeType	Ans	PC	RT
1	1	8	0.3	2	right'	1	2.564603417
1	1	8	0.3	0	left'	1	1.708997844
1	0	6	0.3	0	left'	1	2.023393431
1	0	6	0.3	0	left'	1	2.228510199
1	0	8	0.3	0	left'	1	1.382202708
1	0	8	0.3	0	right'	0	2.589316067
1	0	2	0.3	1	right'	1	2.553454797
1	0	2	0.3	0	left'	1	1.214946959
1	1	6	0.3	0	left'	1	2.57093464
1	1	6	0.3	2	right'	1	1.58474775
1	1	2	0.3	0	left'	1	1.617160183
1	1	2	0.3	0	left'	1	1.256152998
1	1	6	0.3	0	left'	1	2.804977504
1	1	6	0.3	0	right'	0	1.186625998
1	0	4	0.3	0	left'	1	3.152482633
1	0	4	0.3	0	left'	1	1.974439451
1	0	6	0.3	0	left'	1	3.002145408
1	0	6	0.3	0	right'	0	1.431115241
1	0	2	0.3	2	right'	1	1.553362428
1	0	2	0.3	0	left'	1	1.379214532
1	1	6	0.3	0	left'	1	2.50204396
1	1	6	0.3	0	right'	0	1.359892836
1	1	8	0.3	2	left'	0	2.027742273
1	1	8	0.3	0	right'	0	2.059403123
1	0	6	0.3	0	left'	1	3.028645437
1	0	6	0.3	0	left'	1	2.073544656
1	1	2	0.3	1	left'	0	2.318114425
1	1	2	0.3	1	right'	1	5.177310942
1	0	6	0.3	1	right'	1	3.735144186
1	0	6	0.3	0	left'	1	5.706102037
1	0	2	0.3	1	right'	1	3.816241388
1	0	2	0.3	0	left'	1	1.177189757
1	1	4	0.3	0	right'	0	2.632060799
1	1	4	0.3	2	right'	1	1.173129469
1	0	4	0.3	0	left'	1	2.478902767
1	0	4	0.3	1	right'	1	1.041434198
1	0	8	0.3	2	right'	1	2.517023129
1	0	8	0.3	1	left'	0	2.311446096
1	0	4	0.3	2	right'	1	1.233547466
1	0	4	0.3	1	right'	1	3.064830392
1	1	8	0.3	1	right'	1	1.423266641
1	1	8	0.3	0	left'	1	0.97344826
1	0	4	0.3	1	right'	1	1.919972937
1	0	4	0.3	2	right'	1	1.092151874
1	1	8	0.3	2	right'	1	1.252709293
1	1	8	0.3	0	left'	1	1.426019157
1	0	4	0.3	1	right'	1	1.431806824
1	0	4	0.3	0	right'	0	1.957657902
1	1	2	0.3	2	right'	1	1.000497371
1	1	2	0.3	1	right'	1	1.655143571
1	0	8	0.3	0	left'	1	4.892004083
1	0	8	0.3	0	left'	1	1.2721877
1	1	2	0.3	2	right'	1	0.910367352
1	1	2	0.3	0	left'	1	1.106895384
1	0	6	0.3	2	right'	1	4.779624587
1	0	6	0.3	0	left'	1	1.029984787
1	1	4	0.3	1	right'	1	2.14986196
1	1	4	0.3	0	left'	1	1.442068465
1	0	2	0.3	2	right'	1	1.09971863
1	0	2	0.3	0	left'	1	2.553793878
1	1	8	0.3	0	left'	1	3.436919092
1	1	8	0.3	0	left'	1	1.224196094
1	1	4	0.3	1	right'	1	1.834089127
1	1	4	0.3	2	right'	1	0.925756656
1	1	2	0.3	0	left'	1	1.597470985
1	1	2	0.3	2	right'	1	0.793628751
1	1	8	0.3	2	right'	1	1.149871433
1	1	8	0.3	1	right'	1	3.323717354
1	0	8	0.3	0	left'	1	2.104921293
1	0	8	0.3	0	left'	1	1.540162348
1	0	2	0.3	1	right'	1	1.71774566
1	0	2	0.3	1	right'	1	2.195359209
1	0	4	0.3	0	left'	1	2.027536219
1	0	4	0.3	0	left'	1	0.933524729
1	0	6	0.3	2	right'	1	0.857445058
1	0	6	0.3	0	left'	1	1.618775456
1	0	4	0.3	0	left'	1	1.094488335
1	0	4	0.3	1	right'	1	0.667744436
1	0	6	0.3	1	right'	1	1.24360108
1	0	6	0.3	0	left'	1	1.417779766
1	1	8	0.3	0	right'	0	1.705584139
1	1	8	0.3	1	left'	0	1.962507668
1	1	8	0.3	1	right'	1	2.399451628
1	1	8	0.3	1	left'	0	2.084585907
1	0	2	0.3	0	left'	1	1.350816597
1	0	2	0.3	0	left'	1	1.111848177
1	1	8	0.3	1	right'	1	2.012189153
1	1	8	0.3	1	right'	1	2.58143944
1	1	4	0.3	0	left'	1	2.719310406
1	1	4	0.3	1	right'	1	0.776136671
1	0	8	0.3	0	left'	1	2.617479922
1	0	8	0.3	2	right'	1	1.244955035
1	0	4	0.3	1	right'	1	1.46784099
1	0	4	0.3	2	right'	1	0.905725614
1	0	6	0.3	0	right'	0	2.895660553
1	0	6	0.3	2	right'	1	0.780408539
1	0	4	0.3	2	right'	1	0.759845389
1	0	4	0.3	1	right'	1	2.429441152
1	0	2	0.3	0	left'	1	1.453001163
1	0	2	0.3	2	right'	1	0.586151048
1	0	4	0.3	1	right'	1	1.653374349
1	0	4	0.3	2	right'	1	1.595427814
1	1	6	0.3	0	right'	0	1.390920919
1	1	6	0.3	1	right'	1	2.49663998
1	1	8	0.3	1	right'	1	2.547686868
1	1	8	0.3	0	left'	1	1.872962652
1	1	6	0.3	0	left'	1	2.919598329
1	1	6	0.3	2	right'	1	0.747752157
1	1	6	0.3	0	left'	1	1.2486119
1	1	6	0.3	0	left'	1	2.147876421
1	0	8	0.3	1	right'	1	3.575246377
1	0	8	0.3	2	right'	1	1.451519312
1	0	8	0.3	0	right'	0	2.028266092
1	0	8	0.3	1	left'	0	1.1582703
1	0	6	0.3	1	right'	1	1.784151851
1	0	6	0.3	0	left'	1	2.814260586
1	1	6	0.3	1	right'	1	1.325490128
1	1	6	0.3	2	left'	0	4.267986096
1	0	8	0.3	0	right'	0	2.689505226
1	0	8	0.3	2	right'	1	1.693501961
1	0	2	0.3	0	left'	1	2.189405357
1	0	2	0.3	0	left'	1	0.917692133
1	0	4	0.3	2	right'	1	0.794327045
1	0	4	0.3	0	left'	1	2.186581392
1	1	6	0.3	0	left'	1	1.498322753
1	1	6	0.3	0	left'	1	2.927010742
1	1	4	0.3	1	right'	1	1.230295999
1	1	4	0.3	1	right'	1	1.207757968
1	1	2	0.3	1	right'	1	1.510288089
1	1	2	0.3	1	right'	1	1.403352836
1	1	4	0.3	0	left'	1	2.256473921
1	1	4	0.3	2	right'	1	0.780613804
1	0	8	0.3	0	left'	1	4.343022076
1	0	8	0.3	0	right'	0	0.810865434
1	1	6	0.3	0	left'	1	2.349440536
1	1	6	0.3	2	right'	1	1.008580052
1	1	4	0.3	0	left'	1	1.167069432
1	1	4	0.3	2	right'	1	0.647753263
1	1	4	0.3	0	left'	1	2.097371116
1	1	4	0.3	0	left'	1	1.783817902
1	1	6	0.3	1	right'	1	1.160726368
1	1	6	0.3	1	right'	1	1.762125402
1	1	2	0.3	0	left'	1	0.758260116
1	1	2	0.3	0	left'	1	0.671610907
1	0	6	0.3	2	right'	1	1.910662222
1	0	6	0.3	0	left'	1	3.162359009
1	1	2	0.3	2	right'	1	0.845312748
1	1	2	0.3	0	left'	1	1.610406984
1	0	2	0.3	0	left'	1	0.965140973
1	0	2	0.3	1	right'	1	0.616632022
1	0	2	0.3	1	right'	1	1.505473059
1	0	2	0.3	0	left'	1	0.778300237
1	1	4	0.3	0	left'	1	1.410176693
1	1	4	0.3	1	right'	1	1.196518558
1	0	2	0.3	0	left'	1	0.893223827
1	0	2	0.3	0	left'	1	0.841661015
1	1	8	0.3	2	right'	1	0.786409365
1	1	8	0.3	1	right'	1	4.039821688
1	1	2	0.3	0	left'	1	0.930764713
1	1	2	0.3	0	left'	1	1.756590369
1	0	4	2	0	left'	1	1.659482544
1	0	4	2	0	left'	1	1.052210184
1	0	6	2	2	right'	1	0.692713272
1	0	6	2	0	left'	1	0.811911493
1	1	2	2	0	left'	1	0.662005717
1	1	2	2	1	right'	1	0.582931555
1	1	4	2	0	left'	1	2.907279307
1	1	4	2	2	right'	1	0.701153586
1	1	2	2	2	right'	1	0.625028915
1	1	2	2	0	left'	1	0.601013769
1	0	6	2	1	right'	1	0.695501315
1	0	6	2	2	right'	1	0.791933346
1	0	6	2	1	right'	1	0.726625714
1	0	6	2	0	left'	1	1.466699404
