col_a,color,col_b,ups,pos,downs
"(0, 230, 115), (255, 140, 0)","(0, 230, 115), (0, 102, 102), (255, 140, 0), (139, 69, 19)","(139, 69, 19), (0, 230, 115)","(-200, 100), (-100, 200)","(-200, 100), (-100, 200), (-100, -200), (-200, -100)","(-100, -200), (-200, -100)",2,1,0.3,2,5,1,1,0,0,853
"(0, 128, 128), (222, 184, 135), (0, 100, 0)","(0, 128, 128), (107, 142, 35), (0, 100, 0), (255, 140, 0), (222, 184, 135), (255, 182, 193)","(0, 128, 128), (222, 184, 135), (255, 182, 193)","(-100, 200), (100, 200), (-200, 100)","(-100, 200), (100, 200), (-200, 100), (100, -200), (200, -100), (-100, -200)","(100, -200), (200, -100), (-100, -200)",3,0,0.3,0,2,0,0,1,1,14
"(107, 142, 35)","(0, 230, 115), (107, 142, 35)","(107, 142, 35)","(100, 200)","(100, 200), (100, -200)","(100, -200)",1,1,5,0,2,1,0,1,2,776
"(107, 142, 35)","(255, 128, 0), (107, 142, 35)","(107, 142, 35)","(-100, 200)","(-100, 200), (200, -100)","(200, -100)",1,0,2,0,2,1,1,0,3,484
"(128, 0, 128), (222, 184, 135), (139, 69, 19), (107, 142, 35)","(128, 0, 128), (107, 142, 35), (255, 182, 193), (139, 69, 19), (0, 100, 0), (0, 230, 115), (0, 102, 102), (222, 184, 135)","(139, 69, 19), (0, 100, 0), (0, 102, 102), (0, 230, 115)","(-200, 100), (-100, 200), (100, 200), (200, 100)","(-200, 100), (-100, 200), (100, 200), (200, 100), (100, -200), (200, -100), (-200, -100), (-100, -200)","(100, -200), (200, -100), (-200, -100), (-100, -200)",4,0,5,1,2,0,0,1,4,95
"(0, 128, 128), (139, 69, 19), (255, 128, 0)","(0, 100, 0), (139, 69, 19), (255, 128, 0), (0, 128, 128), (255, 182, 193), (255, 140, 0)","(255, 128, 0), (0, 128, 128), (255, 140, 0)","(200, 100), (-100, 200), (-200, 100)","(200, 100), (-100, 200), (-200, 100), (-100, -200), (200, -100), (100, -200)","(-100, -200), (200, -100), (100, -200)",3,2,2,2,5,1,1,0,5,1146
"(128, 0, 128)","(128, 0, 128), (139, 69, 19)","(139, 69, 19)","(100, 200)","(100, 200), (200, -100)","(200, -100)",1,1,0.3,2,0.3,0,0,1,6,684
"(128, 0, 128)","(128, 0, 128), (222, 184, 135)","(128, 0, 128)","(100, 200)","(100, 200), (-200, -100)","(-200, -100)",1,1,0.3,2,5,0,1,0,7,708
"(0, 102, 102), (255, 128, 0)","(0, 102, 102), (139, 69, 19), (255, 128, 0), (128, 0, 128)","(255, 128, 0), (139, 69, 19)","(-200, 100), (-100, 200)","(-200, 100), (-100, 200), (-100, -200), (200, -100)","(-100, -200), (200, -100)",2,0,5,0,2,0,0,1,8,345
"(0, 102, 102), (107, 142, 35), (128, 0, 128)","(107, 142, 35), (128, 0, 128), (0, 102, 102), (255, 140, 0), (0, 230, 115), (139, 69, 19)","(128, 0, 128), (139, 69, 19), (0, 102, 102)","(-100, 200), (100, 200), (200, 100)","(-100, 200), (100, 200), (200, 100), (100, -200), (-100, -200), (-200, -100)","(100, -200), (-100, -200), (-200, -100)",3,0,0.3,1,5,0,1,0,9,98
